id,apartmentImage,apartmentAdvertTitle,apartmentSize,numberOfApartmentRooms,apartmentPrice,apartmentPropertyType,apartmentLocation,apartmentAdvertDate
58,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/8/9/2/3/7/0/4/b45fead3-e8c2-48b8-8def-22d1e1c5ced6.jpg,marmara hastanesi acil karşısında metro yanı,95 m²,2 + 1,3.000.000 ₺,Sahibinden Satılık Daire,Pendik,03-05-2023
59,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/7/2/2/3/7/0/4/ZbzB0-0OT0fuf0HbreWTu.jpeg,beylikdüzün de full konsept site içinde sıfır 1+1 daire,75 m²,1 + 1,12.000 ₺,Sahibinden Kiralık Daire,Beylikdüzü,04-05-2023
60,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/8/3/8/2/7/0/4/1683077313-3686972-40728389.jpeg,perlavista arkası ata sitesi 4+2 dubleks daire,225 m²,6 + 1,8.500.000 ₺,Sahibinden Satılık Daire,Beylikdüzü,04-05-2023
61,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/0/6/5/2/7/0/4/1683030112-284159-40725608.jpeg,florya hatboyu'nun en güzel konumunda manzaralı satılık dubleks,300 m²,4 + 1,14.500.000 ₺,Sahibinden Satılık Daire,Bakırköy,02-05-2023
62,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/1/7/2/7/0/4/ndAXnLjtaN0LB50GznrBF.jpg,beşiktaş full boğaz manzaralı 2+1,135 m²,2 + 1,30.000 ₺,Sahibinden Kiralık Daire,Beşiktaş,02-05-2023
63,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/9/8/5/2/7/0/4/1683032356549-40725890.jpg,3+1 merkezi konumda lüx site içi arakat daire,135 m²,3 + 1,3.590.000 ₺,Sahibinden Satılık Daire,Sancaktepe,02-05-2023
64,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/3/5/7/2/7/0/4/1683050572898-40727539.jpg,site içinde geniş daire,135 m²,3 + 1,4.950.000 ₺,Sahibinden Satılık Daire,Ümraniye,04-05-2023
65,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/7/1/7/2/7/0/4/1683044320259-40727173.jpg,denize sıfır site içi villa,300 m²,5 + 2,12.600.000 ₺,Satılık,Büyükçekmece,02-05-2023
66,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/6/6/3/2/7/0/4/s6cMLyUeRDKBYM99oBIPJ.jpeg,çatı dubleks -roof duplex wıth bosphorus vıew-дуплекс на крыше с видом на босфор-دوبلكس روف على البو,285 m²,6 + 2,16.750.000 ₺,Sahibinden Satılık Daire,Üsküdar,02-05-2023
67,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/6/7/2/2/7/0/4/1683008695-6802-40722762.jpeg,yakut sitesinde satılık daire,135 m²,3 + 1,6.700.000 ₺,Sahibinden Satılık Daire,Ümraniye,02-05-2023
